日期,股票代码,股票名称,连板数,第一次封板时间,最后封板时间,炸板次数,尾盘是否封板,封单金额_亿元,封单量,封单比,第二日开盘收益,第二日最高收益,第二日最低收益,第二日收盘收益,第三日收益,是否连板,涨停类型,第一次封板秒数,最后封板秒数,第一次封板分钟_距0930,最后封板分钟_距0930,首封时间段,炸板次数分组
2025-06-03,000566,海南海药,,,,,,,,,0.099554234769688,0.099554234769688,-0.0222882615156018,0.0579494799405646,-0.0356612184249628,True,,,,,,,
2025-06-03,000599,青岛双星,,,,,,,,,0.0364683301343571,0.0671785028790785,-0.0153550863723608,-0.00383877159309,-0.0211132437619961,False,,,,,,,
2025-06-03,000695,滨海能源,,,,,,,,,-0.0270440251572327,0.0817610062893081,-0.0679245283018867,-0.0251572327044025,0.0723270440251573,False,,,,,,,
2025-06-03,000953,中哲精化,,,,,,,,,0.0044150110375273,0.0220750551876378,-0.065121412803532,-0.0353200883002208,-0.0573951434878589,False,,,,,,,
2025-06-03,001268,联合精密,,,,,,,,,0.0172777075431942,0.0611040876527602,-0.0286557100716392,0.0311841550779603,0.0063211125158026,False,,,,,,,
2025-06-03,001914,招商积余,,,,,,,,,0.0113935144609991,0.0674846625766871,-0.0017528483786152,0.0578439964943031,0.0359333917616127,False,,,,,,,
2025-06-03,002097,山河智能,,,,,,,,,-0.0262828535669586,-0.0150187734668335,-0.0413016270337922,-0.0375469336670838,-0.0212765957446808,False,,,,,,,
2025-06-03,002104,恒宝股份,,,,,,,,,0.0154320987654319,0.0720164609053497,-0.0606995884773662,-0.0205761316872429,0.0781893004115226,False,,,,,,,
2025-06-03,002177,御银股份,,,,,,,,,0.0502873563218391,0.1005747126436782,0.0373563218390804,0.1005747126436782,0.1637931034482758,True,,,,,,,
2025-06-03,002181,粤 传 媒,,,,,,,,,-0.0102564102564102,0.023931623931624,-0.0273504273504272,0.0119658119658119,0.0547008547008547,False,,,,,,,
2025-06-03,002246,北化股份,,,,,,,,,0.0292490118577073,0.1003952569169959,-0.0292490118577075,-0.0102766798418972,0.0173913043478259,True,,,,,,,
2025-06-03,002250,联化科技,,,,,,,,,0.0524752475247525,0.1,0.0,0.0752475247524753,0.1831683168316831,True,,,,,,,
2025-06-03,002286,保龄宝,,,,,,,,,0.0318257956448913,0.0586264656616415,0.0175879396984925,0.0376884422110552,-0.0100502512562813,False,,,,,,,
2025-06-03,002345,潮宏基,,,,,,,,,-0.0304434149569821,0.1045665122435475,-0.0304434149569821,0.1045665122435475,-0.0086035737921905,True,,,,,,,
2025-06-03,002389,航天彩虹,,,,,,,,,-0.0197109067017082,0.0600087604029786,-0.0197109067017082,0.0183968462549277,-0.0078843626806832,False,,,,,,,
2025-06-03,002467,二六三,,,,,,,,,0.0050761421319798,0.0609137055837563,-0.0135363790186124,0.0287648054145515,0.0270727580372249,False,,,,,,,
2025-06-03,002526,山东矿机,,,,,,,,,0.0329113924050632,0.0531645569620253,0.0,0.0075949367088608,0.0126582278481011,False,,,,,,,
2025-06-03,002537,海联金汇,,,,,,,,,-0.0720524017467248,-0.0174672489082969,-0.0982532751091703,-0.0731441048034934,-0.0502183406113537,False,,,,,,,
2025-06-03,002550,千红制药,,,,,,,,,0.0190703218116805,0.1001191895113229,-0.0226460071513708,0.0560190703218115,-0.0381406436233612,True,,,,,,,
2025-06-03,002558,巨人网络,,,,,,,,,-0.0099337748344371,0.0529801324503311,-0.0099337748344371,0.0132450331125828,0.0423841059602649,False,,,,,,,
2025-06-03,002565,顺灏股份,,,,,,,,,0.0553191489361701,0.0978723404255319,-0.0148936170212766,0.0659574468085104,0.0361702127659573,False,,,,,,,
2025-06-03,002612,朗姿股份,,,,,,,,,0.0372960372960373,0.1066433566433564,0.0104895104895104,0.0641025641025641,0.0198135198135198,True,,,,,,,
2025-06-03,002633,申科股份,,,,,,,,,-0.0959952885747938,-0.0518256772673733,-0.1001177856301531,-0.1001177856301531,-0.1731448763250884,False,,,,,,,
2025-06-03,002644,佛慈制药,,,,,,,,,0.0400866738894907,0.0910075839653303,-0.0216684723726978,0.0130010834236184,-0.0335861321776814,False,,,,,,,
2025-06-03,002657,中科金财,,,,,,,,,-0.031986531986532,0.1001683501683501,-0.0332491582491583,0.1001683501683501,0.1418350168350166,True,,,,,,,
2025-06-03,002663,普邦股份,,,,,,,,,-0.0213903743315507,0.0106951871657752,-0.0213903743315507,-0.0106951871657754,-0.0053475935828877,False,,,,,,,
2025-06-03,002669,康达新材,,,,,,,,,-0.0239520958083832,-0.0076988879384088,-0.0479041916167664,-0.0453378956372967,-0.0427715996578271,False,,,,,,,
2025-06-03,002682,龙洲股份,,,,,,,,,0.0805860805860807,0.0805860805860807,-0.043956043956044,-0.0402930402930402,-0.0695970695970695,False,,,,,,,
2025-06-03,002743,富煌钢构,,,,,,,,,-0.0144752714113388,0.0820265379975877,-0.0373944511459588,-0.0277442702050662,-0.0735826296743062,False,,,,,,,
2025-06-03,002798,帝欧水华,,,,,,,,,0.0878734622144112,0.0878734622144112,-0.0984182776801406,-0.0404217926186292,0.0175746924428821,False,,,,,,,
2025-06-03,002829,星网宇达,,,,,,,,,0.0049841413683733,0.048935206162211,-0.0181241504304484,-0.0167648391481649,-0.0249207068418668,False,,,,,,,
2025-06-03,002878,元隆雅图,,,,,,,,,-0.074398249452954,-0.0454048140043764,-0.0946389496717724,-0.0771334792122538,0.0153172866520785,False,,,,,,,
