连板类型,样本数,次日开盘收益均值(%),次日最高收益均值(%),次日收盘收益均值(%),次日收盘上涨概率(%)
首板,895,1.7275864863111876,5.4300374706439145,1.8634033009972775,59.44134078212291
二板,132,2.3535164517431038,6.660003037304942,2.5080458741223866,63.63636363636363
三板及以上,49,3.0867375522553684,7.344573444463284,3.2994569716133397,65.3061224489796
