break_count_bucket,samples,next_open_mean,next_high_mean,next_close_mean,close_win_rate
0,480,2.1398221077472104,5.4363346466860705,1.75800026734356,58.958333333333336
1,196,1.3024376717232302,5.254712726737341,1.7627446832282518,61.224489795918366
2-3,157,1.8454658823272272,5.8499373978105655,1.8918091456975297,57.324840764331206
4+,243,1.7941303622935265,6.341907570465703,2.7741945649119906,63.78600823045267
