,first_seal_minutes,seal_duration_minutes,break_seal_count,limit_up_streak,next_open_return,next_high_return,next_close_return
first_seal_minutes,1.0,-0.17726183404695867,0.01840313250680958,-0.16914184013746356,-0.18455661300637438,-0.1278104774554533,-0.11790229749606136
seal_duration_minutes,-0.17726183404695867,1.0,0.5420027395348759,0.1092647113024315,-0.1378843520041064,-0.04011158595777067,-0.029517458046308957
break_seal_count,0.01840313250680958,0.5420027395348759,1.0,0.21087334908590266,-0.02216825060098661,0.08394273839560083,0.07028684594056932
limit_up_streak,-0.16914184013746356,0.1092647113024315,0.21087334908590266,1.0,0.11142711780627401,0.14742964030704792,0.07043680387176995
next_open_return,-0.18455661300637438,-0.1378843520041064,-0.02216825060098661,0.11142711780627401,1.0,0.6552242482123573,0.505329979747266
next_high_return,-0.1278104774554533,-0.04011158595777067,0.08394273839560083,0.14742964030704792,0.6552242482123573,1.0,0.8180175877849836
next_close_return,-0.11790229749606136,-0.029517458046308957,0.07028684594056932,0.07043680387176995,0.505329979747266,0.8180175877849836,1.0
