涨停类型,样本数,第二日开盘收益均值,第二日最高收益均值,第二日最低收益均值,第二日收盘收益均值,第三日收益均值,第二日收盘上涨概率,连板概率
首板,895,1.7275864863111876,5.4300374706439145,-1.95058458204947,1.8634033009972775,2.3103125581165243,59.44134078212291,23.12849162011173
二板,132,2.3535164517431038,6.660003037304942,-1.8035163051930896,2.5080458741223866,3.1485184163064694,63.63636363636363,33.33333333333333
三板,34,2.7578872011434488,7.144585114062703,-2.262767318985986,3.070240304027547,5.320699085894324,64.70588235294117,47.05882352941176
N板,15,3.8321316814423856,7.797880326704604,-1.198103426787776,3.8190147514744672,6.791344098321642,66.66666666666666,46.666666666666664
