日期,股票代码,股票名称,连板数,第一次封板时间,最后封板时间,炸板次数,尾盘是否封板,封单金额_亿元,封单量,封单比,第二日开盘收益,第二日最高收益,第二日最低收益,第二日收盘收益,第三日收益,是否连板,涨停类型,第一次封板秒数,最后封板秒数,第一次封板分钟_距0930,最后封板分钟_距0930,首封时间段,炸板次数分组
2026-06-11,002842,翔鹭钨业,1.0,09:41:09,09:41:09,0.0,,2.92831224,,,0.0573979591836735,0.1002551020408162,-0.0339285714285715,0.0089285714285711,0.1040816326530611,True,首板,34869.0,34869.0,11.15,11.15,09:30-10:00,0次
2026-06-11,002913,奥士康,1.0,11:00:48,11:00:48,0.0,,0.28916831,,,0.0455127033449096,0.0500822518735148,0.0040212027051726,0.0177298482909888,0.1200877353317493,False,首板,39648.0,39648.0,90.8,90.8,10:00-11:30,0次
2026-06-11,002971,和远气体,3.0,09:25:00,09:54:03,2.0,,1.86198427,,,0.0426944971537002,0.100189753320683,0.0313092979127134,0.100189753320683,0.076470588235294,True,三板,33900.0,35643.0,-5.0,24.05,09:25-09:30,2-3次
2026-06-11,600067,冠城新材,1.0,09:39:36,09:40:45,1.0,,0.39344212,,,0.0348101265822784,0.10126582278481,0.0031645569620253,0.10126582278481,0.1329113924050633,True,首板,34776.0,34845.0,9.6,10.75,09:30-10:00,1次
2026-06-11,600108,亚盛集团,1.0,09:48:53,10:28:47,1.0,,0.84590317,,,0.0386740331491712,0.0469613259668508,-0.0497237569060774,-0.0082872928176795,0.0165745856353591,False,首板,35333.0,37727.0,18.883333333333333,58.78333333333333,09:30-10:00,1次
2026-06-11,600141,兴发集团,1.0,09:25:02,09:25:02,0.0,,3.41742439,,,0.1014582686937637,0.1014582686937637,0.012721067328576,0.0440583307477506,0.1399317406143345,True,首板,33902.0,33902.0,-4.966666666666667,-4.966666666666667,09:25-09:30,0次
2026-06-11,600178,东安动力,2.0,09:50:54,09:50:54,0.0,,0.45998526,,,0.0113528855250708,0.0870387890255439,-0.0529801324503311,-0.0501419110690635,-0.043519394512772,False,二板,35454.0,35454.0,20.9,20.9,09:30-10:00,0次
2026-06-11,600322,津投城开,1.0,09:40:03,09:49:09,1.0,,0.27584391,,,0.0034965034965035,0.0104895104895106,-0.0699300699300699,-0.0629370629370628,-0.0839160839160838,False,首板,34803.0,35349.0,10.05,19.15,09:30-10:00,1次
2026-06-11,600353,旭光电子,1.0,10:51:53,14:43:05,4.0,,0.78431392,,,0.0354041416165664,0.0778223112892451,-0.0480961923847695,-0.041750167000668,0.0541082164328656,False,首板,39113.0,52985.0,81.88333333333334,313.0833333333333,10:00-11:30,4次及以上
2026-06-11,600378,昊华科技,2.0,09:25:01,10:15:07,8.0,,1.93223165,,,-0.0050393700787401,-0.0039370078740157,-0.0999999999999999,-0.0999999999999999,-0.1138582677165354,False,二板,33901.0,36907.0,-4.983333333333333,45.11666666666667,09:25-09:30,4次及以上
