炸板次数分组,样本数,第二日开盘收益均值,第二日最高收益均值,第二日最低收益均值,第二日收盘收益均值,第三日收益均值,第二日收盘上涨概率,连板概率
0次,480,2.1398221077472104,5.4363346466860705,-2.004035214140564,1.75800026734356,2.38413066892497,58.958333333333336,24.583333333333332
1次,196,1.3024376717232302,5.254712726737341,-1.9907248592444706,1.7627446832282518,1.5343575830463219,61.224489795918366,21.93877551020408
2-3次,157,1.8454658823272272,5.8499373978105655,-1.767855252095114,1.8918091456975297,2.1070606939246126,57.324840764331206,24.840764331210192
4次及以上,243,1.7941303622935265,6.341907570465703,-1.848027751805694,2.7741945649119906,4.074826191583317,63.78600823045267,30.45267489711934
